waypoint1	waypoint2	distance_m	duration_s
651 Kapkowski Rd, Elizabeth, NJ 07201	1000 Ocean Ave, Asbury Park, NJ 07712	71290	3113
1 Hudson Pl, Hoboken, NJ 07030	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	192474	7123
1 Hudson Pl, Hoboken, NJ 07030	1 Audrey Zapp Drive, Jersey City, NJ 07305	6975	1446
500 Forrestal Rd, Rio Grande, NJ 08242	651 Kapkowski Rd, Elizabeth, NJ 07201	229363	8033
1 Ocean Ave, Ocean Grove, NJ 07756	Hudson River Waterfront Walkway, Jersey City, NJ 07302	90680	4190
500 Forrestal Rd, Rio Grande, NJ 08242	168 Stevens St, West Cape May, NJ 08204	10173	782
168 Stevens St, West Cape May, NJ 08204	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	68965	2866
208 Broadway, Barnegat Light, NJ 08006	McCormick Hall, Princeton, NJ 08544	124343	6398
1 Metlife Stadium Dr, East Rutherford, NJ 07073	1 Borgata Way, Atlantic City, NJ 08401	201127	7065
600 Boardwalk, Ocean City, NJ 08226	211 Main St, West Orange, NJ 07052	201042	7448
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	600 Boardwalk, Ocean City, NJ 08226	101551	4294
1 Borgata Way, Atlantic City, NJ 08401	40.238645, -74.721615	150099	5342
215 Light House Ave, Cape May Point, NJ 08212	1 Borgata Way, Atlantic City, NJ 08401	84037	3527
211 Main St, West Orange, NJ 07052	208 Broadway, Barnegat Light, NJ 08006	165158	6594
600 Boardwalk, Ocean City, NJ 08226	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	22057	1712
600 Boardwalk, Ocean City, NJ 08226	1 Audrey Zapp Drive, Jersey City, NJ 07305	202065	7566
208 Broadway, Barnegat Light, NJ 08006	1 Borgata Way, Atlantic City, NJ 08401	80139	3963
208 Broadway, Barnegat Light, NJ 08006	40.238645, -74.721615	111259	5770
1 Metlife Stadium Dr, East Rutherford, NJ 07073	211 Main St, West Orange, NJ 07052	22989	1325
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	500 Forrestal Rd, Rio Grande, NJ 08242	142444	5389
521 NJ-47, Cape May, NJ 08204	651 Kapkowski Rd, Elizabeth, NJ 07201	229035	7946
320 7th St, Beach Haven, NJ 08008	1 Audrey Zapp Drive, Jersey City, NJ 07305	161625	6573
1 Hudson Pl, Hoboken, NJ 07030	600 Boardwalk, Ocean City, NJ 08226	205432	7817
500 Forrestal Rd, Rio Grande, NJ 08242	1 Audrey Zapp Drive, Jersey City, NJ 07305	242958	8660
1 Audrey Zapp Drive, Jersey City, NJ 07305	Beach Ave, Cape May, NJ 08204	247071	8820
6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	Beach Ave, Cape May, NJ 08204	67062	2966
1 Metlife Stadium Dr, East Rutherford, NJ 07073	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	72250	3011
521 NJ-47, Cape May, NJ 08204	211 Main St, West Orange, NJ 07052	241607	8456
500 Forrestal Rd, Rio Grande, NJ 08242	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	62949	2807
1 Borgata Way, Atlantic City, NJ 08401	1000 Ocean Ave, Asbury Park, NJ 07712	123659	4937
500 Forrestal Rd, Rio Grande, NJ 08242	208 Broadway, Barnegat Light, NJ 08006	128402	5586
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	211 Main St, West Orange, NJ 07052	143569	5791
500 Forrestal Rd, Rio Grande, NJ 08242	1 Metlife Stadium Dr, East Rutherford, NJ 07073	246884	8765
600 Boardwalk, Ocean City, NJ 08226	560 Northfield Ave, West Orange, NJ 07052	203693	7669
1 Hudson Pl, Hoboken, NJ 07030	1 Ocean Ave, Ocean Grove, NJ 07756	92657	4446
168 Stevens St, West Cape May, NJ 08204	1 Borgata Way, Atlantic City, NJ 08401	81661	3326
Hudson River Waterfront Walkway, Jersey City, NJ 07302	1 Borgata Way, Atlantic City, NJ 08401	198966	7146
1 Audrey Zapp Drive, Jersey City, NJ 07305	651 Kapkowski Rd, Elizabeth, NJ 07201	19459	1191
1 Hudson Pl, Hoboken, NJ 07030	1000 Ocean Ave, Asbury Park, NJ 07712	88252	3992
211 Main St, West Orange, NJ 07052	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	61009	2497
320 7th St, Beach Haven, NJ 08008	1000 Ocean Ave, Asbury Park, NJ 07712	92306	4452
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	208 Broadway, Barnegat Light, NJ 08006	116398	6241
211 Main St, West Orange, NJ 07052	215 Light House Ave, Cape May Point, NJ 08212	251347	9020
6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	39.102851, -74.814134	45951	2087
560 Northfield Ave, West Orange, NJ 07052	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	189471	6757
1 Audrey Zapp Drive, Jersey City, NJ 07305	39.102851, -74.814134	225959	7940
560 Northfield Ave, West Orange, NJ 07052	1 Audrey Zapp Drive, Jersey City, NJ 07305	33961	1946
1 Metlife Stadium Dr, East Rutherford, NJ 07073	39.102851, -74.814134	229885	8046
208 Broadway, Barnegat Light, NJ 08006	1 Audrey Zapp Drive, Jersey City, NJ 07305	166654	6838
500 Forrestal Rd, Rio Grande, NJ 08242	1000 Ocean Ave, Asbury Park, NJ 07712	172262	6554
320 7th St, Beach Haven, NJ 08008	Hudson River Waterfront Walkway, Jersey City, NJ 07302	163390	6759
1 Hudson Pl, Hoboken, NJ 07030	100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	145558	6222
1 Ocean Ave, Ocean Grove, NJ 07756	McCormick Hall, Princeton, NJ 08544	63113	4119
320 7th St, Beach Haven, NJ 08008	651 Kapkowski Rd, Elizabeth, NJ 07201	148030	5945
320 7th St, Beach Haven, NJ 08008	McCormick Hall, Princeton, NJ 08544	120807	6176
1 Ocean Ave, Ocean Grove, NJ 07756	651 Kapkowski Rd, Elizabeth, NJ 07201	75321	3377
651 Kapkowski Rd, Elizabeth, NJ 07201	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	174248	6026
1 Hudson Pl, Hoboken, NJ 07030	1 Borgata Way, Atlantic City, NJ 08401	197893	7503
560 Northfield Ave, West Orange, NJ 07052	1 Borgata Way, Atlantic City, NJ 08401	198829	7063
Beach Ave, Cape May, NJ 08204	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	247433	8738
521 NJ-47, Cape May, NJ 08204	39.102851, -74.814134	13979	1037
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	39.102851, -74.814134	125446	4669
500 Forrestal Rd, Rio Grande, NJ 08242	Beach Ave, Cape May, NJ 08204	10787	1043
Beach Ave, Cape May, NJ 08204	1000 Ocean Ave, Asbury Park, NJ 07712	176291	6589
168 Stevens St, West Cape May, NJ 08204	Hudson River Waterfront Walkway, Jersey City, NJ 07302	251483	9082
168 Stevens St, West Cape May, NJ 08204	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	250080	8814
1 Ocean Ave, Ocean Grove, NJ 07756	Beach Ave, Cape May, NJ 08204	173931	6662
6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	40.238645, -74.721615	132754	4753
215 Light House Ave, Cape May Point, NJ 08212	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	72362	3284
521 NJ-47, Cape May, NJ 08204	Beach Ave, Cape May, NJ 08204	15957	1236
1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	39.102851, -74.814134	226321	7859
600 Boardwalk, Ocean City, NJ 08226	1 Borgata Way, Atlantic City, NJ 08401	33732	1955
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	Hudson River Waterfront Walkway, Jersey City, NJ 07302	152485	5824
320 7th St, Beach Haven, NJ 08008	1 Metlife Stadium Dr, East Rutherford, NJ 07073	165551	6678
600 Boardwalk, Ocean City, NJ 08226	40.238645, -74.721615	154224	5875
521 NJ-47, Cape May, NJ 08204	560 Northfield Ave, West Orange, NJ 07052	244258	8677
211 Main St, West Orange, NJ 07052	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	187556	6476
208 Broadway, Barnegat Light, NJ 08006	215 Light House Ave, Cape May Point, NJ 08212	137815	6063
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	651 Kapkowski Rd, Elizabeth, NJ 07201	137162	5016
Beach Ave, Cape May, NJ 08204	39.102851, -74.814134	22745	1284
560 Northfield Ave, West Orange, NJ 07052	Beach Ave, Cape May, NJ 08204	248699	8923
1 Hudson Pl, Hoboken, NJ 07030	208 Broadway, Barnegat Light, NJ 08006	170076	7240
651 Kapkowski Rd, Elizabeth, NJ 07201	Hudson River Waterfront Walkway, Jersey City, NJ 07302	21541	1437
500 Forrestal Rd, Rio Grande, NJ 08242	560 Northfield Ave, West Orange, NJ 07052	244586	8763
1 Metlife Stadium Dr, East Rutherford, NJ 07073	600 Boardwalk, Ocean City, NJ 08226	205991	7671
521 NJ-47, Cape May, NJ 08204	Hudson River Waterfront Walkway, Jersey City, NJ 07302	244394	8760
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	40.238645, -74.721615	70895	2901
1 Ocean Ave, Ocean Grove, NJ 07756	40.238645, -74.721615	76684	3375
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	1 Metlife Stadium Dr, East Rutherford, NJ 07073	154669	5875
1 Metlife Stadium Dr, East Rutherford, NJ 07073	Hudson River Waterfront Walkway, Jersey City, NJ 07302	15052	1538
521 NJ-47, Cape May, NJ 08204	McCormick Hall, Princeton, NJ 08544	184402	7165
208 Broadway, Barnegat Light, NJ 08006	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	165275	6609
500 Forrestal Rd, Rio Grande, NJ 08242	40.238645, -74.721615	194061	7006
500 Forrestal Rd, Rio Grande, NJ 08242	1 Borgata Way, Atlantic City, NJ 08401	74625	3049
1 Hudson Pl, Hoboken, NJ 07030	500 Forrestal Rd, Rio Grande, NJ 08242	246325	8911
215 Light House Ave, Cape May Point, NJ 08212	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	252732	9056
1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	40.238645, -74.721615	42689	2796
211 Main St, West Orange, NJ 07052	39.102851, -74.814134	224936	7823
1 Audrey Zapp Drive, Jersey City, NJ 07305	Hudson River Waterfront Walkway, Jersey City, NJ 07302	4570	833
168 Stevens St, West Cape May, NJ 08204	40.238645, -74.721615	201414	7278
168 Stevens St, West Cape May, NJ 08204	215 Light House Ave, Cape May Point, NJ 08212	2213	256
1 Metlife Stadium Dr, East Rutherford, NJ 07073	1000 Ocean Ave, Asbury Park, NJ 07712	88810	3846
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	215 Light House Ave, Cape May Point, NJ 08212	151857	5866
6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	188204	6572
320 7th St, Beach Haven, NJ 08008	Beach Ave, Cape May, NJ 08204	128979	5523
208 Broadway, Barnegat Light, NJ 08006	Hudson River Waterfront Walkway, Jersey City, NJ 07302	166678	6876
208 Broadway, Barnegat Light, NJ 08006	168 Stevens St, West Cape May, NJ 08204	136094	5852
600 Boardwalk, Ocean City, NJ 08226	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	202427	7484
1 Borgata Way, Atlantic City, NJ 08401	39.102851, -74.814134	57626	2330
208 Broadway, Barnegat Light, NJ 08006	651 Kapkowski Rd, Elizabeth, NJ 07201	151319	6063
211 Main St, West Orange, NJ 07052	Beach Ave, Cape May, NJ 08204	246048	8702
211 Main St, West Orange, NJ 07052	1000 Ocean Ave, Asbury Park, NJ 07712	83861	3623
521 NJ-47, Cape May, NJ 08204	215 Light House Ave, Cape May Point, NJ 08212	18233	1282
521 NJ-47, Cape May, NJ 08204	40.238645, -74.721615	172272	6530
1000 Ocean Ave, Asbury Park, NJ 07712	McCormick Hall, Princeton, NJ 08544	63060	4019
Hudson River Waterfront Walkway, Jersey City, NJ 07302	1000 Ocean Ave, Asbury Park, NJ 07712	86649	3927
168 Stevens St, West Cape May, NJ 08204	1 Ocean Ave, Ocean Grove, NJ 07756	177442	6844
320 7th St, Beach Haven, NJ 08008	208 Broadway, Barnegat Light, NJ 08006	24647	2185
1 Borgata Way, Atlantic City, NJ 08401	Beach Ave, Cape May, NJ 08204	78738	3209
1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	1000 Ocean Ave, Asbury Park, NJ 07712	85246	3659
651 Kapkowski Rd, Elizabeth, NJ 07201	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	60565	2614
211 Main St, West Orange, NJ 07052	McCormick Hall, Princeton, NJ 08544	72792	3971
215 Light House Ave, Cape May Point, NJ 08212	40.238645, -74.721615	204512	7530
1 Hudson Pl, Hoboken, NJ 07030	651 Kapkowski Rd, Elizabeth, NJ 07201	21928	1595
560 Northfield Ave, West Orange, NJ 07052	651 Kapkowski Rd, Elizabeth, NJ 07201	29607	1594
1 Ocean Ave, Ocean Grove, NJ 07756	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	89277	3923
6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	McCormick Hall, Princeton, NJ 08544	145838	5380
1 Audrey Zapp Drive, Jersey City, NJ 07305	McCormick Hall, Princeton, NJ 08544	76590	3926
1 Hudson Pl, Hoboken, NJ 07030	320 7th St, Beach Haven, NJ 08008	166539	7018
600 Boardwalk, Ocean City, NJ 08226	215 Light House Ave, Cape May Point, NJ 08212	59417	3231
211 Main St, West Orange, NJ 07052	1 Borgata Way, Atlantic City, NJ 08401	192975	6857
1 Ocean Ave, Ocean Grove, NJ 07756	39.102851, -74.814134	152820	5783
1 Metlife Stadium Dr, East Rutherford, NJ 07073	208 Broadway, Barnegat Light, NJ 08006	168839	6795
560 Northfield Ave, West Orange, NJ 07052	1000 Ocean Ave, Asbury Park, NJ 07712	86512	3844
1000 Ocean Ave, Asbury Park, NJ 07712	39.102851, -74.814134	155180	5710
500 Forrestal Rd, Rio Grande, NJ 08242	39.102851, -74.814134	17801	1109
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	Beach Ave, Cape May, NJ 08204	146557	5548
